movieId,Director,Budget,Cumulative Worldwide Gross,Runtime
464,John Woo,18000000,74189677,1 hour 37 minutes
461,Rose Troche,15000,2405285,1 hour 23 minutes
460,Howard Deutch,30000000,18869594,1 hour 49 minutes
459,Roger Donaldson,-,30057974,1 hour 55 minutes
458,Walter Hill,35000000,18635620,1 hour 55 minutes
457,Andrew Davis,44000000,368875760,2 hours 10 minutes
456,Boaz Yakin,3500000,8094616,1 hour 54 minutes
455,Simon Wincer,20000000,153709806,1 hour 52 minutes
454,Sydney Pollack,42000000,270248367,2 hours 34 minutes
453,Barry Sonnenfeld,30000000,11146270,1 hour 36 minutes
452,John Irvin,-,6243722,1 hour 41 minutes
451,Steve Kloves,-,9709451,2 hours 6 minutes
450,Alek Keshishian,-,20016254,1 hour 41 minutes
449,Rusty Cundieff,999999,233824,1 hour 28 minutes
448,Peter Weir,-,6995302,2 hours 2 minutes
446,Kaige Chen,4000000,7447084,2 hours 51 minutes
445,Carl Reiner,-,7839327,1 hour 31 minutes
444,Gus Van Sant,8000000,1708873,1 hour 46 minutes
442,Marco Brambilla,57000000,58056466,1 hour 55 minutes
441,Richard Linklater,6900000,8259076,1 hour 43 minutes
440,Ivan Reitman,28000000,63270710,1 hour 50 minutes
438,Gregg Champion,35000000,20280016,1 hour 42 minutes
437,Michael Ritchie,-,11391093,1 hour 33 minutes
436,Richard Rush,40000000,19726050,2 hours 1 minute
435,Steve Barron,30000000,21274717,1 hour 28 minutes
434,Renny Harlin,70000000,255000211,1 hour 53 minutes
433,Mick Jackson,18000000,7355425,1 hour 47 minutes
432,Paul Weiland,40000000,43622150,1 hour 56 minutes
431,Brian De Palma,30000000,63848322,2 hours 24 minutes
430,John Whitesell,13000000,2570550,1 hour 30 minutes
429,Adam Resnick,9000000,3662459,1 hour 20 minutes
428,Robert De Niro,22000000,17287898,2 hours 1 minute
427,Jennifer Lynch,-,1796389,1 hour 47 minutes
426,Abel Ferrara,13000000,428868,1 hour 27 minutes
425,Tony Richardson,16000000,3359465,1 hour 41 minutes
424,William Friedkin,-,23070663,1 hour 48 minutes
423,Stephen Hopkins,28000000,30156002,2 hours 1 minute
422,Michael Apted,11000000,16696219,1 hour 46 minutes
421,Caroline Thompson,-,4630377,1 hour 28 minutes
420,John Landis,50000000,119208989,1 hour 44 minutes
419,Penelope Spheeris,25000000,57405220,1 hour 32 minutes
418,Bill Forsyth,40000000,1519366,2 hours 2 minutes
417,Whit Stillman,3200000,7266973,1 hour 41 minutes
416,Jonathan Kaplan,25000000,15240435,1 hour 39 minutes
415,John Badham,-,20208496,1 hour 48 minutes
414,Paul Michael Glaser,17080000,21011318,1 hour 47 minutes
413,Michael Lehmann,-,5751882,1 hour 32 minutes
412,Martin Scorsese,34000000,32255953,2 hours 19 minutes
410,Barry Sonnenfeld,47000000,48919043,1 hour 34 minutes
409,Jeff Pollack,3500000,16192320,1 hour 36 minutes
408,John G. Avildsen,7000000,19623396,1 hour 45 minutes
407,John Carpenter,8000000,8926413,1 hour 35 minutes
406,Michael Corrente,80000,514775,1 hour 37 minutes
405,Andrew Morahan,26000000,12303080,1 hour 39 minutes
393,Steven E. de Souza,35000000,99433436,1 hour 42 minutes
391,Doug McHenry,7000000,20851521,1 hour 59 minutes
390,Russ Meyer,45000,-,1 hour 23 minutes
389,Yves Angelo,-,464284,1 hour 50 minutes
388,"Robert Lee King, Raoul O'Connell, Brian Sloan",-,-,1 hour 31 minutes
387,Keenen Ivory Wayans,10000000,29392418,1 hour 40 minutes
386,Jefery Levy,-,63513,1 hour 36 minutes
385,Suri Krishnamma,-,920916,1 hour 39 minutes
384,Damian Harris,15000000,3674841,1 hour 48 minutes
383,Lawrence Kasdan,63000000,25052000,3 hours 11 minutes
382,Mike Nichols,70000000,131002597,2 hours 5 minutes
381,Luis Mandoki,-,50021959,2 hours 6 minutes
380,James Cameron,115000000,378882411,2 hours 21 minutes
379,Peter Hyams,27000000,101646581,1 hour 39 minutes
378,Ron Underwood,38000000,20667959,1 hour 39 minutes
377,Jan de Bont,30000000,350448145,1 hour 56 minutes
376,Curtis Hanson,45000000,94216343,1 hour 51 minutes
374,Donald Petrie,40000000,38087756,1 hour 35 minutes
